"","Regulator","Target","RegulatorType","TargetType","regulatory_Mechanism"
"7963","IL6","JAK3","PCG","PCG","interacts"
"7964","IL6","MYD88","PCG","PCG","interacts"
"7965","IL6","LIFR","PCG","PCG","interacts"
"7966","IL6","TNF","PCG","PCG","interacts"
"7967","IL6","JAK1","PCG","PCG","interacts"
"7968","IL6R","SOCS3","PCG","PCG","interacts"
"7969","IL6R","SHC1","PCG","PCG","interacts"
"7970","IL6R","JAK2","PCG","PCG","interacts"
"7971","IL6R","TNF","PCG","PCG","interacts"
"7972","IL6R","JAK1","PCG","PCG","interacts"
"7973","ILF2","ILF3","PCG","PCG","interacts"
"7974","ILF3","NONO","PCG","PCG","interacts"
"7975","ILF3","PTBP1","PCG","PCG","interacts"
"7976","ILF3","SYNCRIP","PCG","PCG","interacts"
"7977","IMP3","RPL35","PCG","PCG","interacts"
"7978","IMP3","NOP58","PCG","PCG","interacts"
"7979","IMP3","RACK1","PCG","PCG","interacts"
"7980","IMP3","UBA52","PCG","PCG","interacts"
"7981","IMP3","RPL34","PCG","PCG","interacts"
"7982","IMP3","RPS6","PCG","PCG","interacts"
"7983","INCENP","KIF23","PCG","PCG","interacts"
"7984","INCENP","PLK1","PCG","PCG","interacts"
"7985","INCENP","RCC2","PCG","PCG","interacts"
"7986","INCENP","KIF20A","PCG","PCG","interacts"
"7987","ING3","MSL2","PCG","PCG","interacts"
"7988","ING3","INO80","PCG","PCG","interacts"
"7989","ING3","SIN3A","PCG","PCG","interacts"
"7990","ING3","MBTD1","PCG","PCG","interacts"
"7991","INPP5D","PIK3R2","PCG","PCG","interacts"
"7992","INPP5D","PIK3R3","PCG","PCG","interacts"
"7993","INPP5D","PIK3CA","PCG","PCG","interacts"
"7994","INPP5D","PTEN","PCG","PCG","interacts"
"7995","INPP5D","PIK3CD","PCG","PCG","interacts"
"7996","INPP5D","PTPN6","PCG","PCG","interacts"
"7997","INPP5D","SHC1","PCG","PCG","interacts"
"7998","INPP5D","PIK3R1","PCG","PCG","interacts"
"7999","IQGAP1","MAPK1","PCG","PCG","interacts"
"8000","IQGAP1","RAC2","PCG","PCG","interacts"
"8001","IQGAP1","MAPK3","PCG","PCG","interacts"
"8002","IQGAP1","KDR","PCG","PCG","interacts"
"8003","IQGAP1","IQGAP3","PCG","PCG","interacts"
"8004","IQGAP1","NPHS1","PCG","PCG","interacts"
"8005","IQGAP1","RAC3","PCG","PCG","interacts"
"8006","IQGAP1","MAP2K1","PCG","PCG","interacts"
"8007","IQGAP1","RAC1","PCG","PCG","interacts"
"8008","IQGAP3","RAC2","PCG","PCG","interacts"
"8009","IQGAP3","RAC3","PCG","PCG","interacts"
"8010","IRAK1","NFKBIA","PCG","PCG","interacts"
"8011","IRAK1","NFKB1","PCG","PCG","interacts"
"8012","IRAK1","TLR2","PCG","PCG","interacts"
"8013","IRAK1","TLR3","PCG","PCG","interacts"
"8014","IRAK1","PPP2R2A","PCG","PCG","interacts"
"8015","IRAK1","MAP3K7","PCG","PCG","interacts"
"8016","IRAK1","SQSTM1","PCG","PCG","interacts"
"8017","IRAK1","PPP2CA","PCG","PCG","interacts"
"8018","IRAK1","TLR7","PCG","PCG","interacts"
"8019","IRAK1","TRAF3","PCG","PCG","interacts"
"8020","IRAK1","TLR4","PCG","PCG","interacts"
"8021","IRAK1","TRAF6","PCG","PCG","interacts"
"8022","IRAK1","MYD88","PCG","PCG","interacts"
"8023","IRS1","PIK3R2","PCG","PCG","interacts"
"8024","IRS1","RPS6KB1","PCG","PCG","interacts"
"8025","IRS1","PIK3R3","PCG","PCG","interacts"
"8026","IRS1","PIK3CA","PCG","PCG","interacts"
"8027","IRS1","NTRK3","PCG","PCG","interacts"
"8028","IRS1","PRKCE","PCG","PCG","interacts"
"8029","IRS1","YWHAZ","PCG","PCG","interacts"
"8030","IRS1","JAK1","PCG","PCG","interacts"
"8031","IRS1","SOS1","PCG","PCG","interacts"
"8032","IRS1","PIK3CD","PCG","PCG","interacts"
"8033","IRS1","PTPRF","PCG","PCG","interacts"
"8034","IRS1","SOCS2","PCG","PCG","interacts"
"8035","IRS1","LEP","PCG","PCG","interacts"
"8036","IRS1","SOCS1","PCG","PCG","interacts"
"8037","IRS1","SOCS3","PCG","PCG","interacts"
"8038","IRS1","MAPK8","PCG","PCG","interacts"
"8039","IRS1","SHC1","PCG","PCG","interacts"
"8040","IRS1","MTOR","PCG","PCG","interacts"
"8041","IRS1","JAK2","PCG","PCG","interacts"
"8042","IRS1","IRS2","PCG","PCG","interacts"
"8043","IRS1","PIK3R1","PCG","PCG","interacts"
"8044","IRS2","PIK3R2","PCG","PCG","interacts"
"8045","IRS2","PIK3R3","PCG","PCG","interacts"
"8046","IRS2","PIK3CA","PCG","PCG","interacts"
"8047","IRS2","PRKCE","PCG","PCG","interacts"
"8048","IRS2","SOCS3","PCG","PCG","interacts"
"8049","IRS2","PTPRF","PCG","PCG","interacts"
"8050","IRS2","MTOR","PCG","PCG","interacts"
"8051","IRS2","SOCS2","PCG","PCG","interacts"
"8052","IRS2","PIK3CD","PCG","PCG","interacts"
"8053","IRS2","MAPK8","PCG","PCG","interacts"
"8054","IRS2","JAK2","PCG","PCG","interacts"
"8055","IRS2","SOCS1","PCG","PCG","interacts"
"8056","IRS2","PIK3R1","PCG","PCG","interacts"
"8057","ITGA11","ITGB8","PCG","PCG","interacts"
"8058","ITGA11","ITGAV","PCG","PCG","interacts"
"8059","ITGA11","ITGA5","PCG","PCG","interacts"
"8060","ITGA11","ITGA2","PCG","PCG","interacts"
"8061","ITGA11","ITGA3","PCG","PCG","interacts"
"8062","ITGA11","ITGA4","PCG","PCG","interacts"
"8063","ITGA11","ITGB2","PCG","PCG","interacts"
"8064","ITGA11","ITGB3","PCG","PCG","interacts"
"8065","ITGA11","ITGB1","PCG","PCG","interacts"
"8066","ITGA2","ITGB4","PCG","PCG","interacts"
"8067","ITGA2","PIK3R2","PCG","PCG","interacts"
"8068","ITGA2","ITGB8","PCG","PCG","interacts"
"8069","ITGA2","ITGAV","PCG","PCG","interacts"
"8070","ITGA2","PIK3R3","PCG","PCG","interacts"
"8071","ITGA2","PIK3CA","PCG","PCG","interacts"
"8072","ITGA2","ITGA5","PCG","PCG","interacts"
"8073","ITGA2","PTPN6","PCG","PCG","interacts"
"8074","ITGA2","PIK3CD","PCG","PCG","interacts"
"8075","ITGA2","PIK3R1","PCG","PCG","interacts"
"8076","ITGA2","PTK2","PCG","PCG","interacts"
"8077","ITGA2","ITGA4","PCG","PCG","interacts"
"8078","ITGA2","ITGA3","PCG","PCG","interacts"
"8079","ITGA2","ITGB2","PCG","PCG","interacts"
"8080","ITGA2","ITGB3","PCG","PCG","interacts"
"8081","ITGA2","ITGB1","PCG","PCG","interacts"
"8082","ITGA3","ITGB4","PCG","PCG","interacts"
"8083","ITGA3","ITGB8","PCG","PCG","interacts"
"8084","ITGA3","THBS1","PCG","PCG","interacts"
"8085","ITGA3","ITGAV","PCG","PCG","interacts"
"8086","ITGA3","ITGA5","PCG","PCG","interacts"
"8087","ITGA3","ITGA4","PCG","PCG","interacts"
"8088","ITGA3","ITGB2","PCG","PCG","interacts"
"8089","ITGA3","PTK2","PCG","PCG","interacts"
"8090","ITGA3","ITGB3","PCG","PCG","interacts"
"8091","ITGA3","ITGB1","PCG","PCG","interacts"
"8092","ITGA4","ITGB8","PCG","PCG","interacts"
"8093","ITGA4","RAP1B","PCG","PCG","interacts"
"8094","ITGA4","ITGAV","PCG","PCG","interacts"
"8095","ITGA4","PXN","PCG","PCG","interacts"
"8096","ITGA4","ITGA5","PCG","PCG","interacts"
"8097","ITGA4","PTK2","PCG","PCG","interacts"
"8098","ITGA4","RAP1A","PCG","PCG","interacts"
"8099","ITGA4","SPP1","PCG","PCG","interacts"
"8100","ITGA4","ITGB1","PCG","PCG","interacts"
"8101","ITGA4","PTK2B","PCG","PCG","interacts"
"8102","ITGA4","JAM2","PCG","PCG","interacts"
"8103","ITGA4","ITGB3","PCG","PCG","interacts"
"8104","ITGA4","ITGB2","PCG","PCG","interacts"
"8105","ITGA5","ITGB4","PCG","PCG","interacts"
"8106","ITGA5","ITGB8","PCG","PCG","interacts"
"8107","ITGA5","ITGAV","PCG","PCG","interacts"
"8108","ITGA5","PTK2B","PCG","PCG","interacts"
"8109","ITGA5","PTK2","PCG","PCG","interacts"
"8110","ITGA5","TLN1","PCG","PCG","interacts"
"8111","ITGA5","ITGB2","PCG","PCG","interacts"
"8112","ITGA5","ITGB3","PCG","PCG","interacts"
"8113","ITGA5","ITGB1","PCG","PCG","interacts"
"8114","ITGA6","ITGB4","PCG","PCG","interacts"
"8115","ITGA6","LAMC1","PCG","PCG","interacts"
"8116","ITGA6","PTK2","PCG","PCG","interacts"
"8117","ITGA6","ITGB1","PCG","PCG","interacts"
"8118","ITGA6","ITGB2","PCG","PCG","interacts"
"8119","ITGA6","ITGB3","PCG","PCG","interacts"
"8120","ITGAV","ITGB4","PCG","PCG","interacts"
"8121","ITGAV","TGFB1","PCG","PCG","interacts"
"8122","ITGAV","ITGB8","PCG","PCG","interacts"
"8123","ITGAV","THBS1","PCG","PCG","interacts"
"8124","ITGAV","TNXB","PCG","PCG","interacts"
"8125","ITGAV","PTK2","PCG","PCG","interacts"
"8126","ITGAV","ITGB2","PCG","PCG","interacts"
"8127","ITGAV","ITGB3","PCG","PCG","interacts"
"8128","ITGAV","ITGB1","PCG","PCG","interacts"
"8129","ITGAV","SPP1","PCG","PCG","interacts"
"8130","ITGAX","ITGB1","PCG","PCG","interacts"
"8131","ITGAX","ITGB2","PCG","PCG","interacts"
"8132","ITGB1","PIK3R2","PCG","PCG","interacts"
"8133","ITGB1","ITGB8","PCG","PCG","interacts"
"8134","ITGB1","RAP1B","PCG","PCG","interacts"
"8135","ITGB1","LAMC1","PCG","PCG","interacts"
"8136","ITGB1","THBS1","PCG","PCG","interacts"
"8137","ITGB1","SEMA7A","PCG","PCG","interacts"
"8138","ITGB1","PIK3R3","PCG","PCG","interacts"
"8139","ITGB1","PIK3CA","PCG","PCG","interacts"
"8140","ITGB1","PXN","PCG","PCG","interacts"
"8141","ITGB1","TLN1","PCG","PCG","interacts"
"8142","ITGB1","PTK2","PCG","PCG","interacts"
"8143","ITGB1","RAP1A","PCG","PCG","interacts"
"8144","ITGB1","PIK3CD","PCG","PCG","interacts"
"8145","ITGB1","PRKD3","PCG","PCG","interacts"
"8146","ITGB1","SPP1","PCG","PCG","interacts"
"8147","ITGB1","TNXB","PCG","PCG","interacts"
"8148","ITGB1","PTPN6","PCG","PCG","interacts"
"8149","ITGB1","JAM2","PCG","PCG","interacts"
"8150","ITGB1","PIK3R1","PCG","PCG","interacts"
"8151","ITGB1","PTK2B","PCG","PCG","interacts"
"8152","ITGB1","ITGB2","PCG","PCG","interacts"
"8153","ITGB1","ITGB3","PCG","PCG","interacts"
"8154","ITGB2","PIK3R2","PCG","PCG","interacts"
"8155","ITGB2","ITGB8","PCG","PCG","interacts"
"8156","ITGB2","RAP1B","PCG","PCG","interacts"
"8157","ITGB2","PIK3R3","PCG","PCG","interacts"
"8158","ITGB2","PIK3CA","PCG","PCG","interacts"
"8159","ITGB2","TLN1","PCG","PCG","interacts"
"8160","ITGB2","SELE","PCG","PCG","interacts"
"8161","ITGB2","RAP1A","PCG","PCG","interacts"
"8162","ITGB2","PIK3CD","PCG","PCG","interacts"
"8163","ITGB2","PRKD3","PCG","PCG","interacts"
"8164","ITGB2","PTK2B","PCG","PCG","interacts"
"8165","ITGB2","PIK3R1","PCG","PCG","interacts"
"8166","ITGB2","ITGB3","PCG","PCG","interacts"
"8167","ITGB2","SELL","PCG","PCG","interacts"
"8168","ITGB3","ITGB8","PCG","PCG","interacts"
"8169","ITGB3","THBS1","PCG","PCG","interacts"
"8170","ITGB3","KDR","PCG","PCG","interacts"
"8171","ITGB3","PXN","PCG","PCG","interacts"
"8172","ITGB3","TLN1","PCG","PCG","interacts"
"8173","ITGB3","PTK2","PCG","PCG","interacts"
"8174","ITGB3","SPP1","PCG","PCG","interacts"
"8175","ITGB3","SHC1","PCG","PCG","interacts"
"8176","ITGB3","TNXB","PCG","PCG","interacts"
"8177","ITGB4","PTK2","PCG","PCG","interacts"
"8178","ITGB4","LAMC2","PCG","PCG","interacts"
"8179","ITGB4","LAMB3","PCG","PCG","interacts"
"8180","ITGB8","TGFB1","PCG","PCG","interacts"
"8181","ITGB8","PTK2","PCG","PCG","interacts"
"8182","ITPR1","PLCD3","PCG","PCG","interacts"
"8183","ITPR1","PRKG1","PCG","PCG","interacts"
"8184","ITPR1","PSEN1","PCG","PCG","interacts"
"8185","ITPR1","TRPC3","PCG","PCG","interacts"
"8186","ITPR1","STIM1","PCG","PCG","interacts"
"8187","ITPR1","VDAC1","PCG","PCG","interacts"
"8188","JAG1","JAG2","PCG","PCG","interacts"
"8189","JAG1","NOTCH4","PCG","PCG","interacts"
"8190","JAG1","NOTCH2","PCG","PCG","interacts"
"8191","JAG1","NOTCH3","PCG","PCG","interacts"
"8192","JAG1","NOTCH1","PCG","PCG","interacts"
"8193","JAG2","NOTCH2","PCG","PCG","interacts"
"8194","JAG2","NOTCH3","PCG","PCG","interacts"
"8195","JAG2","PYCR1","PCG","PCG","interacts"
"8196","JAG2","NOTCH1","PCG","PCG","interacts"
"8197","JAG2","NOTCH4","PCG","PCG","interacts"
"8198","JAK1","PIK3R2","PCG","PCG","interacts"
"8199","JAK1","PDGFRA","PCG","PCG","interacts"
"8200","JAK1","PDGFRB","PCG","PCG","interacts"
"8201","JAK1","PIK3R3","PCG","PCG","interacts"
"8202","JAK1","KDR","PCG","PCG","interacts"
"8203","JAK1","PIK3CA","PCG","PCG","interacts"
"8204","JAK1","OSMR","PCG","PCG","interacts"
"8205","JAK1","SOCS5","PCG","PCG","interacts"
"8206","JAK1","PTPN2","PCG","PCG","interacts"
"8207","JAK1","MET","PCG","PCG","interacts"
"8208","JAK1","SOCS3","PCG","PCG","interacts"
"8209","JAK1","PIK3CD","PCG","PCG","interacts"
"8210","JAK1","JAK2","PCG","PCG","interacts"
"8211","JAK1","PTPN6","PCG","PCG","interacts"
"8212","JAK1","LIFR","PCG","PCG","interacts"
"8213","JAK1","PIK3R1","PCG","PCG","interacts"
"8214","JAK1","JAK3","PCG","PCG","interacts"
"8215","JAK1","SOCS1","PCG","PCG","interacts"
"8216","JAK2","PIK3R2","PCG","PCG","interacts"
"8217","JAK2","PDGFRA","PCG","PCG","interacts"
"8218","JAK2","PDGFRB","PCG","PCG","interacts"
"8219","JAK2","PIK3R3","PCG","PCG","interacts"
"8220","JAK2","KDR","PCG","PCG","interacts"
"8221","JAK2","PIK3CA","PCG","PCG","interacts"
"8222","JAK2","OSMR","PCG","PCG","interacts"
"8223","JAK2","SOCS5","PCG","PCG","interacts"
"8224","JAK2","PTPN2","PCG","PCG","interacts"
"8225","JAK2","LEP","PCG","PCG","interacts"
"8226","JAK2","MET","PCG","PCG","interacts"
"8227","JAK2","PRMT5","PCG","PCG","interacts"
"8228","JAK2","SOCS3","PCG","PCG","interacts"
"8229","JAK2","PTK2","PCG","PCG","interacts"
"8230","JAK2","PIK3CD","PCG","PCG","interacts"
"8231","JAK2","TET2","PCG","PCG","interacts"
"8232","JAK2","SOCS6","PCG","PCG","interacts"
"8233","JAK2","SOCS2","PCG","PCG","interacts"
"8234","JAK2","JAK3","PCG","PCG","interacts"
"8235","JAK2","LIFR","PCG","PCG","interacts"
"8236","JAK2","PTPN6","PCG","PCG","interacts"
"8237","JAK2","PIK3R1","PCG","PCG","interacts"
"8238","JAK2","SHC1","PCG","PCG","interacts"
"8239","JAK2","SOCS1","PCG","PCG","interacts"
"8240","JAK3","PIK3R2","PCG","PCG","interacts"
"8241","JAK3","PIK3R3","PCG","PCG","interacts"
"8242","JAK3","PIK3CA","PCG","PCG","interacts"
"8243","JAK3","PTPN2","PCG","PCG","interacts"
"8244","JAK3","SOCS3","PCG","PCG","interacts"
"8245","JAK3","PIK3CD","PCG","PCG","interacts"
"8246","JAK3","PTK2B","PCG","PCG","interacts"
"8247","JAK3","PTPN6","PCG","PCG","interacts"
"8248","JAK3","LIFR","PCG","PCG","interacts"
"8249","JAK3","PIK3R1","PCG","PCG","interacts"
"8250","JAK3","SOCS1","PCG","PCG","interacts"
"8251","JAM2","TJP1","PCG","PCG","interacts"
"8252","JAM2","PARD3","PCG","PCG","interacts"
"8253","KANK1","TLN1","PCG","PCG","interacts"
"8254","KAT2A","SIRT1","PCG","PCG","interacts"
"8255","KAT2A","MAML1","PCG","PCG","interacts"
"8256","KAT2A","SMARCA4","PCG","PCG","interacts"
"8257","KAT2A","KAT2B","PCG","PCG","interacts"
"8258","KAT2A","USP22","PCG","PCG","interacts"
"8259","KAT2A","WDR5","PCG","PCG","interacts"
"8260","KAT2B","SIRT1","PCG","PCG","interacts"
"8261","KAT2B","USP22","PCG","PCG","interacts"
"8262","KAT2B","MAML1","PCG","PCG","interacts"
"8263","KAT2B","SMARCA4","PCG","PCG","interacts"
"8264","KAT2B","WDR5","PCG","PCG","interacts"
"8265","KCNK3","S100A10","PCG","PCG","interacts"
"8266","KDM1A","SIRT1","PCG","PCG","interacts"
"8267","KDM1A","MSH2","PCG","PCG","interacts"
"8268","KDM1A","SETD1A","PCG","PCG","interacts"
"8269","KDM1A","PRKDC","PCG","PCG","interacts"
"8270","KDM1A","SIN3A","PCG","PCG","interacts"
"8271","KDM1A","KDM3A","PCG","PCG","interacts"
"8272","KDM3A","PPARG","PCG","PCG","interacts"
"8273","KDM3A","SMARCA4","PCG","PCG","interacts"
"8274","KDM6A","SETD1A","PCG","PCG","interacts"
"8275","KDM6A","SUZ12","PCG","PCG","interacts"
"8276","KDM6A","WDR5","PCG","PCG","interacts"
"8277","KDM6B","SMARCA4","PCG","PCG","interacts"
"8278","KDM6B","WDR5","PCG","PCG","interacts"
"8279","KDR","PIK3R2","PCG","PCG","interacts"
"8280","KDR","PDGFRB","PCG","PCG","interacts"
"8281","KDR","PIK3R3","PCG","PCG","interacts"
"8282","KDR","PDGFB","PCG","PCG","interacts"
"8283","KDR","PIK3CD","PCG","PCG","interacts"
"8284","KDR","MCAM","PCG","PCG","interacts"
"8285","KDR","NCK1","PCG","PCG","interacts"
"8286","KDR","PIK3R1","PCG","PCG","interacts"
"8287","KDR","NRP2","PCG","PCG","interacts"
"8288","KDR","PTK2","PCG","PCG","interacts"
"8289","KDR","TIMP3","PCG","PCG","interacts"
"8290","KDR","PTPN6","PCG","PCG","interacts"
"8291","KDR","PIK3CA","PCG","PCG","interacts"
"8292","KDR","SHC1","PCG","PCG","interacts"
"8293","KDR","NRP1","PCG","PCG","interacts"
"8294","KDR","VEGFC","PCG","PCG","interacts"
"8295","KDR","PGF","PCG","PCG","interacts"
"8296","KHSRP","YWHAZ","PCG","PCG","interacts"
"8297","KIF14","NCAPG","PCG","PCG","interacts"
"8298","KIF14","KIF23","PCG","PCG","interacts"
"8299","KIF14","TPX2","PCG","PCG","interacts"
"8300","KIF14","KIF4A","PCG","PCG","interacts"
"8301","KIF14","TOP2A","PCG","PCG","interacts"
"8302","KIF14","KIF20A","PCG","PCG","interacts"
"8303","KIF14","PRC1","PCG","PCG","interacts"
"8304","KIF20A","TRIP13","PCG","PCG","interacts"
"8305","KIF20A","NCAPG","PCG","PCG","interacts"
"8306","KIF20A","KIF23","PCG","PCG","interacts"
"8307","KIF20A","MELK","PCG","PCG","interacts"
"8308","KIF20A","PLK1","PCG","PCG","interacts"
"8309","KIF20A","TPX2","PCG","PCG","interacts"
"8310","KIF20A","SPAG5","PCG","PCG","interacts"
"8311","KIF20A","UBE2C","PCG","PCG","interacts"
"8312","KIF20A","RRM2","PCG","PCG","interacts"
"8313","KIF20A","NEK2","PCG","PCG","interacts"
"8314","KIF20A","MKI67","PCG","PCG","interacts"
"8315","KIF20A","KIF4A","PCG","PCG","interacts"
"8316","KIF20A","PTTG1","PCG","PCG","interacts"
"8317","KIF20A","PRC1","PCG","PCG","interacts"
"8318","KIF20A","NUSAP1","PCG","PCG","interacts"
"8319","KIF20A","TOP2A","PCG","PCG","interacts"
"8320","KIF23","NCAPG","PCG","PCG","interacts"
"8321","KIF23","NUSAP1","PCG","PCG","interacts"
"8322","KIF23","MELK","PCG","PCG","interacts"
"8323","KIF23","TPX2","PCG","PCG","interacts"
"8324","KIF23","TOP2A","PCG","PCG","interacts"
"8325","KIF23","KIF4A","PCG","PCG","interacts"
"8326","KIF23","SHCBP1","PCG","PCG","interacts"
"8327","KIF23","PLK1","PCG","PCG","interacts"
"8328","KIF23","PRC1","PCG","PCG","interacts"
"8329","KIF4A","NCAPH","PCG","PCG","interacts"
"8330","KIF4A","NCAPG","PCG","PCG","interacts"
"8331","KIF4A","MELK","PCG","PCG","interacts"
"8332","KIF4A","TPX2","PCG","PCG","interacts"
"8333","KIF4A","UBE2C","PCG","PCG","interacts"
"8334","KIF4A","RRM2","PCG","PCG","interacts"
"8335","KIF4A","TOP2A","PCG","PCG","interacts"
"8336","KIF4A","NUSAP1","PCG","PCG","interacts"
"8337","KIF4A","PRC1","PCG","PCG","interacts"
"8338","KISS1","LEP","PCG","PCG","interacts"
"8339","KIT","PIK3R2","PCG","PCG","interacts"
"8340","KIT","KRAS","PCG","PCG","interacts"
"8341","KIT","PIK3R3","PCG","PCG","interacts"
"8342","KIT","PIK3CA","PCG","PCG","interacts"
"8343","KIT","PIK3CD","PCG","PCG","interacts"
"8344","KIT","SHC1","PCG","PCG","interacts"
"8345","KIT","NRAS","PCG","PCG","interacts"
"8346","KIT","PIK3R1","PCG","PCG","interacts"
"8347","KMT2A","SETD1A","PCG","PCG","interacts"
"8348","KMT2A","SMARCB1","PCG","PCG","interacts"
"8349","KMT2A","WDR5","PCG","PCG","interacts"
"8350","KMT2A","TAF1","PCG","PCG","interacts"
"8351","KPNA3","NFKB1","PCG","PCG","interacts"
"8352","KRAS","MAPK1","PCG","PCG","interacts"
"8353","KRAS","PIK3R2","PCG","PCG","interacts"
"8354","KRAS","LZTR1","PCG","PCG","interacts"
"8355","KRAS","PRKCE","PCG","PCG","interacts"
"8356","KRAS","PTEN","PCG","PCG","interacts"
"8357","KRAS","NRAS","PCG","PCG","interacts"
"8358","KRAS","MAPK8","PCG","PCG","interacts"
"8359","KRAS","PIK3R3","PCG","PCG","interacts"
"8360","KRAS","MAP3K1","PCG","PCG","interacts"
"8361","KRAS","PDGFRB","PCG","PCG","interacts"
"8362","KRAS","PIK3R1","PCG","PCG","interacts"
"8363","KRAS","PIK3CD","PCG","PCG","interacts"
"8364","KRAS","PDGFRA","PCG","PCG","interacts"
"8365","KRAS","MET","PCG","PCG","interacts"
"8366","KRAS","MAPK3","PCG","PCG","interacts"
"8367","KRAS","RASSF1","PCG","PCG","interacts"
"8368","KRAS","MAP2K1","PCG","PCG","interacts"
"8369","KRAS","NF1","PCG","PCG","interacts"
"8370","KRAS","PIK3CA","PCG","PCG","interacts"
"8371","KRAS","SOS1","PCG","PCG","interacts"
"8372","KRAS","RAF1","PCG","PCG","interacts"
"8373","KRT17","SFN","PCG","PCG","interacts"
"8374","LAMB3","LAMC2","PCG","PCG","interacts"
"8375","LAMTOR5","MTOR","PCG","PCG","interacts"
"8376","LARP1","PABPC1","PCG","PCG","interacts"
"8377","LATS1","NF2","PCG","PCG","interacts"
"8378","LATS1","STK4","PCG","PCG","interacts"
"8379","LATS1","LATS2","PCG","PCG","interacts"
"8380","LATS1","WWTR1","PCG","PCG","interacts"
"8381","LATS1","STK3","PCG","PCG","interacts"
"8382","LATS1","YAP1","PCG","PCG","interacts"
"8383","LATS2","MDM2","PCG","PCG","interacts"
"8384","LATS2","NF2","PCG","PCG","interacts"
"8385","LATS2","STK4","PCG","PCG","interacts"
"8386","LATS2","STK3","PCG","PCG","interacts"
"8387","LATS2","WWTR1","PCG","PCG","interacts"
"8388","LATS2","YAP1","PCG","PCG","interacts"
"8389","LAYN","TLN1","PCG","PCG","interacts"
"8390","LDHA","TPI1","PCG","PCG","interacts"
"8391","LDHA","PDHB","PCG","PCG","interacts"
"8392","LDHA","PKM","PCG","PCG","interacts"
"8393","LDHA","PGK1","PCG","PCG","interacts"
"8394","LDLR","PCSK9","PCG","PCG","interacts"
"8395","LDLR","MYLIP","PCG","PCG","interacts"
"8396","LEP","PPARGC1A","PCG","PCG","interacts"
"8397","LEP","PPARG","PCG","PCG","interacts"
"8398","LEP","SOCS3","PCG","PCG","interacts"
"8399","LGALS9B","TIGIT","PCG","PCG","interacts"
"8400","LGR5","RSPO4","PCG","PCG","interacts"
"8401","LIFR","PIK3R2","PCG","PCG","interacts"
"8402","LIFR","PIK3R3","PCG","PCG","interacts"
"8403","LIFR","PIK3CA","PCG","PCG","interacts"
"8404","LIFR","OSMR","PCG","PCG","interacts"
"8405","LIFR","PIK3CD","PCG","PCG","interacts"
"8406","LIFR","PIK3R1","PCG","PCG","interacts"
"8407","LIMK1","PAK1","PCG","PCG","interacts"
"8408","LIMK1","PAK2","PCG","PCG","interacts"
"8409","LIMK1","ROCK2","PCG","PCG","interacts"
"8410","LIMK1","PAK3","PCG","PCG","interacts"
"8411","LIMK1","PAK5","PCG","PCG","interacts"
"8412","LIMK1","RHOA","PCG","PCG","interacts"
"8413","LIMK1","ROCK1","PCG","PCG","interacts"
"8414","LIMK1","LIMK2","PCG","PCG","interacts"
"8415","LIMK1","PAK4","PCG","PCG","interacts"
"8416","LIMK2","PAK1","PCG","PCG","interacts"
"8417","LIMK2","PAK2","PCG","PCG","interacts"
"8418","LIMK2","ROCK2","PCG","PCG","interacts"
"8419","LIMK2","PAK3","PCG","PCG","interacts"
"8420","LIMK2","PAK5","PCG","PCG","interacts"
"8421","LIMK2","PAK4","PCG","PCG","interacts"
"8422","LIMK2","ROCK1","PCG","PCG","interacts"
"8423","LPCAT1","PAFAH1B1","PCG","PCG","interacts"
"8424","LRIG1","MET","PCG","PCG","interacts"
"8425","LRP6","WNT3","PCG","PCG","interacts"
"8426","LRP6","WNT5B","PCG","PCG","interacts"
"8427","LRP6","WNT4","PCG","PCG","interacts"
"8428","LRP6","WNT2B","PCG","PCG","interacts"
"8429","LRP6","WNT5A","PCG","PCG","interacts"
"8430","LRP6","WNT7B","PCG","PCG","interacts"
"8431","LRP6","WNT10B","PCG","PCG","interacts"
"8432","LRP6","WNT2","PCG","PCG","interacts"
"8433","LRP6","WNT7A","PCG","PCG","interacts"
"8434","LRP6","WNT3A","PCG","PCG","interacts"
"8435","LRP6","WNT1","PCG","PCG","interacts"
"8436","LRRK2","RAB5B","PCG","PCG","interacts"
"8437","LRRK2","SFN","PCG","PCG","interacts"
"8438","LRRK2","SNCA","PCG","PCG","interacts"
"8439","LTBP3","TGFB1","PCG","PCG","interacts"
"8440","LTBP3","TGFB2","PCG","PCG","interacts"
"8441","MACROH2A1","PARP1","PCG","PCG","interacts"
"8442","MAGI2","PTEN","PCG","PCG","interacts"
"8443","MAML1","NOTCH2","PCG","PCG","interacts"
"8444","MAML1","NOTCH3","PCG","PCG","interacts"
"8445","MAML1","NOTCH4","PCG","PCG","interacts"
"8446","MAML1","NOTCH1","PCG","PCG","interacts"
"8447","MAP1LC3A","ULK1","PCG","PCG","interacts"
"8448","MAP1LC3A","SQSTM1","PCG","PCG","interacts"
"8449","MAP1LC3B","ULK1","PCG","PCG","interacts"
"8450","MAP1LC3B","SQSTM1","PCG","PCG","interacts"
"8451","MAP2K1","MAPK1","PCG","PCG","interacts"
"8452","MAP2K1","MAPK14","PCG","PCG","interacts"
"8453","MAP2K1","MAPK3","PCG","PCG","interacts"
"8454","MAP2K1","PAK1","PCG","PCG","interacts"
"8455","MAP2K1","PAK5","PCG","PCG","interacts"
